id,name,name_cn,level,region,country,phone,fax,supervisor,principal,gender,finance_type,district,address_en,address_cn,session_type,school_type
2022,Beryl Primary School,綠玉小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1331,Beverly Primary,比華利小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1332,Bexley Primary,碧溪小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1333,Big Ben Primary,大笨鐘小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1555,Birch Primary School,樺樹小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
867,Bishop Hall Primary School,何明華會督銀禧小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
868,Bishop Morrison Primary School,馬利諾外方傳教會小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1334,Bishop Primary,主敎小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1556,Blair Primary School,布萊爾小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
869,Blake Primary School,布萊克小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
2023,Bliss Primary School,幸福小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1335,Bloom Primary,綻放小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1557,Blossom Primary School,花朵小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1336,Bodhi Primary,覺醒小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
870,Bodhi Primary School,菩提小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1337,Bonny Primary,邦妮小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
871,Brampton Primary School,布蘭普頓小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1558,Brandon Primary School,布蘭登小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
2024,Brave Primary School,勇敢小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1559,Brecknock Primary School,布萊諾克小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1560,Briarwood Primary School,野玫瑰木小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1513,Bright Elementary School,明亮小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1522,Bright International School,明亮國際學校,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1338,Bright Primary,光亮小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
872,Bright Primary School,光明小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1339,Brilliant Primary,出色小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1340,British Columbia Primary,卑詩小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
873,British International School,英國國際學校小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1270,British School Hong Kong,英國國際學校,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1341,Brooklyn Primary,布魯克林小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
874,Brookside Primary School,溪澗小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1561,Brunswick Primary School,布倫瑞克小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1562,Bryant Primary School,布萊恩特小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1563,Buckingham Primary School,白金漢小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
875,Buddhist (Chai) Primary,佛教慈慧小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
876,Buddhist (Cheung) Primary,佛教慈恩小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1342,Buddhist (Cheung) Primary,佛教張名泉紀念小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
877,Buddhist (Fu) Primary,佛教傅融小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1343,Buddhist (Fu) Primary,佛教傅厚民小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
878,Buddhist (Ho) Primary,佛教何黃筱湘紀念小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1344,Buddhist (Ho) Primary,佛教何黃筱湘小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1345,Buddhist (Hung) Primary,佛教洪錦小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1346,Buddhist (Kam) Primary,佛教金耀小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
879,Buddhist (Kong) Primary,佛教康文小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1347,Buddhist (Kowloon) Primary,佛教九龍小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
880,Buddhist (Kwai) Primary,佛教慈幼學校,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1348,Buddhist (Kwai) Primary,佛教葵涌小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1349,Buddhist (Lai) Primary,佛教賴濂小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1350,Buddhist (Lam) Primary,佛教林耀小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1351,Buddhist (Lau) Primary,佛教劉鎏小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1352,Buddhist (Lee) Primary,佛教李國興小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1353,Buddhist (Li) Primary,佛教利銘小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1354,Buddhist (Lo) Primary,佛教路小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
881,Buddhist (Lok) Primary,佛教樂行小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1355,Buddhist (Lok) Primary,佛教樂學小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
882,Buddhist (Lui) Primary,佛教呂潤財紀念小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1356,Buddhist (Ma) Primary,佛教馬灣小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
883,Buddhist (Mong) Primary,佛教蒙正小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1357,Buddhist (Ngan) Primary,佛教銀禧小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1360,Buddhist (Sha) Primary,佛教沙田小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1358,Buddhist (Sham) Primary,佛教深水埗小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1359,Buddhist (Shan) Primary,佛教善小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1361,Buddhist (Siu) Primary,佛教兆祥小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1362,Buddhist (Suen) Primary,佛教孫小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1363,Buddhist (Sun) Primary,佛教新光小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1364,Buddhist (Tai) Primary,佛教大圍小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1365,Buddhist (To) Primary,佛教陶小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1366,Buddhist (Tong) Primary,佛教東小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1367,Buddhist (Tse) Primary,佛教謝小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
884,Buddhist (Tung) Primary,佛教東區小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1368,Buddhist (Wan) Primary,佛教灣仔小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1369,Buddhist (Wong) Primary,佛教黃埔小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
885,Buddhist (Yat) Primary,佛教慈積小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1370,Buddhist (Yau) Primary,佛教油麻地小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1371,Buddhist (Yin) Primary,佛教燕小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1372,Buddhist (Yue) Primary,佛教余氏小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1373,Buddhist (Yung) Primary,佛教容小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
423,Buddhist Primary School,佛教聯合會小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
791,Buddhist Primary School,佛教慈航小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1564,Burlington Primary School,伯靈頓小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1378,CCC (Bishop) Primary,中華基督教會主恩小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1379,CCC (Cheung) Primary,中華基督教會基灣小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
890,CCC (Chun) Primary,中華基督教會基全小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1380,CCC (Fuk) Primary,中華基督教會福復小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
891,CCC (Heep) Primary,中華基督教會協和小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1381,CCC (Heung) Primary,中華基督教會興德小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1382,CCC (Kai) Primary,中華基督教會基小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
892,CCC (Kowloon) Primary,中華基督教會九龍真光中學附屬小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1383,CCC (Kowloon) Primary,中華基督教會九龍小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1384,CCC (Kwai) Primary,中華基督教會葵涌小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
893,CCC (Kwan) Primary,中華基督教會群華小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1385,CCC (Kwong) Primary,中華基督教會光小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1386,CCC (Lai) Primary,中華基督教會梨木樹小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1387,CCC (Lam) Primary,中華基督教會林金小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1388,CCC (Lau) Primary,中華基督教會劉小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1389,CCC (Lei) Primary,中華基督教會雷小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
894,CCC (Lui) Primary,中華基督教會基順小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1390,CCC (Lui) Primary,中華基督教會呂小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
895,CCC (Ming) Primary,中華基督教會銘賢小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1391,CCC (Ngan) Primary,中華基督教會銀禧小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1392,CCC (Sha) Primary,中華基督教會沙田小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
896,CCC (Shan) Primary,中華基督教會深愛堂小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1393,CCC (Shan) Primary,中華基督教會上水小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1394,CCC (Shui) Primary,中華基督教會水深小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1395,CCC (Sik) Primary,中華基督教會石小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1396,CCC (Siu) Primary,中華基督教會兆祥小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1397,CCC (Tai) Primary,中華基督教會大埔小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
897,CCC (Taipo) Primary,中華基督教會大埔基道小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1398,CCC (Tin) Primary,中華基督教會天恩小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1399,CCC (Tsz) Primary,中華基督教會慈小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1400,CCC (Tung) Primary,中華基督教會東涌小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
898,CCC (Wan) Primary,中華基督教會仁華小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1401,CCC (Wan) Primary,中華基督教會灣仔小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1402,CCC (Yau) Primary,中華基督教會油麻地小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1403,CCC (Yuen) Primary,中華基督教會元朗小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
433,CLP Primary School,中華電力小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
917,CNEC (Ching) Primary,中華基督教會青道小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1417,CNEC (Ching) Primary,中華基督教會青禾小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1418,CNEC (Fuk) Primary,中華基督教會福和小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
918,CNEC (Heep) Primary,中華基督教會合一堂中華基信小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1419,CNEC (Hei) Primary,中華基督教會希雲小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1420,CNEC (Kam) Primary,中華基督教會錦小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1421,CNEC (Kei) Primary,中華基督教會基禾小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
919,CNEC (Kowloon) Primary,中華基督教會基真小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
921,CNEC (Kwai) Primary,中華基督教會基慧小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
920,CNEC (Kwei) Primary,中華基督教會桂華山小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
922,CNEC (Kwong) Primary,中華基督教會光華小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1422,CNEC (Kwong) Primary,中華基督教會廣小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1423,CNEC (Lai) Primary,中華基督教會梨小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1424,CNEC (Lam) Primary,中華基督教會林小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1425,CNEC (Ling) Primary,中華基督教會靈小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
923,CNEC (Lui) Primary,中華基督教會基聯小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1426,CNEC (Ngan) Primary,中華基督教會銀小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
924,CNEC (Ping) Primary,中華基督教會基屏小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1427,CNEC (Sai) Primary,中華基督教會西小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1428,CNEC (San) Primary,中華基督教會山小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
925,CNEC (Sha) Primary,中華基督教會沙田靈光小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1430,CNEC (Sha) Primary,中華基督教會沙小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
926,CNEC (Shan) Primary,中華基督教會深恩小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1429,CNEC (Shan) Primary,中華基督教會善小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1431,CNEC (Siu) Primary,中華基督教會兆小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
927,CNEC (Tai) Primary,中華基督教會基泰小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1432,CNEC (Tai) Primary,中華基督教會泰小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1433,CNEC (Tin) Primary,中華基督教會天小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1434,CNEC (Tong) Primary,中華基督教會塘小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1435,CNEC (Tse) Primary,中華基督教會謝小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
928,CNEC (Tung) Primary,中華基督教會中華基督教會基東小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1436,CNEC (Tung) Primary,中華基督教會東小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1437,CNEC (Wan) Primary,中華基督教會灣小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
929,CNEC (Yat) Primary,中華基督教會基一度小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1438,CNEC (Yau) Primary,中華基督教會油小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1439,CNEC (Yuen) Primary,中華基督教會元小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
434,CNEC Primary School,中華傳道會小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
2025,Calm Primary School,平靜小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
886,Calvary Primary School,獻主會小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1565,Cambridge Primary School,劍橋小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1566,Camden Primary School,坎登小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1374,Camel Primary,駱駝小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1375,Camellia Primary,山茶花小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1567,Campus Primary School,校園小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1376,Canadian (HK) Primary,加拿大小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
887,Canadian International School Primary,加拿大國際學校小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
814,Canossian Primary School,嘉諾撒小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1568,Canterbury Primary School,坎特伯雷小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1569,Canyon Primary School,峽谷小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1570,Cardiff Primary School,加的夫小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
2026,Care Primary School,關懷小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1524,Caring Elementary School,關愛小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1517,Caring International School,關愛國際學校,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
889,Caritas Primary School,明愛小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1571,Carlton Primary School,卡爾頓小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
888,Carmel Primary School,迦密小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1572,Carnegie Primary School,卡內基小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1573,Carroll Primary School,卡羅爾小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1377,Carrolton Primary,卡頓小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1309,Causeway Bay Government Primary,銅鑼灣官立小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1574,Cedarwood Primary School,雪松木小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1575,Celadon Primary School,青瓷小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1404,Celia Primary,詩樂小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1576,Centennial Primary School,百年小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1577,Central Primary School,中央小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1405,Chadwick Primary,查特威克小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
899,Chadwick Primary School,查德威克小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1578,Chamberlain Primary School,張伯倫小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1406,Champs Primary,冠軍小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1579,Chandler Primary School,錢德勒小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1407,Chapel Primary,小禮拜堂小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
2027,Charity Primary School,慈善小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1408,Charles Dickens Primary,查理·狄更斯小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
900,Charlton Primary School,查爾頓小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
2028,Charming Primary School,迷人小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1409,Chatham Primary,查塔姆小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1580,Chelsea Primary School,切爾西小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
901,Chen Rui Primary School,陳瑞祺小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1581,Cheney Primary School,切尼小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1410,Cherry Primary,櫻桃小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1582,Chester Primary School,切斯特小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1411,Chesterfield Primary,切斯特菲爾德小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1583,Chesterton Primary School,切斯特頓小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
424,Cheung Chau Primary,長洲小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
902,Cheung Chau Primary,長洲公立學堂,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1412,Chevalier Primary,騎士小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1584,Chevy Chase Primary School,雪維蔡斯小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
551,Chinese International School,漢基國際學校,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
161,Chinese Primary School,中華基督教會小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
425,Ching Kwan Primary,青松小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
910,Ching Kwan Primary,青松公學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
1413,Ching Primary,青小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
426,Ching Wui Primary,青慧小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
427,Chiu Yang Primary,趙斑小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
911,Chiu Yang Primary,趙斑中學附屬小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
912,Cho Yiu Primary,祖堯小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
428,Choi Hung Primary,彩虹小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
429,Chong Gene Hang Primary,莊啟程預科小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
430,Christ Primary,基督小學,elementary,Hong Kong,Hong Kong,,,,,,,,,,,
