ID,英文名,中文名,类型,官网,校训,地址,校长
250,Buddhist College Secondary,佛教聯合會中學,中学,https://www.school250.edu.hk,勤、慎、朴、恭,"350 Central Road, Hong Kong",缺失
1034,Buddhist (Maw) Secondary,佛教茂峰法師紀念中學,中学,缺失,缺失,缺失,缺失
349,PLK Secondary,保良局中學,中学,https://www.school349.edu.hk,勤、慎、朴、恭,"449 Repulse Bay Road, Hong Kong",缺失
1277,Po Leung Kuk Wendy,保良局溫莎,中学,缺失,缺失,缺失,缺失
1075,Faith Secondary,信心中學,中学,缺失,缺失,缺失,缺失
277,Faith Secondary,信心書院,中学,https://www.school277.edu.hk,勤、慎、朴、恭,"377 Sai Ying Pun Road, Hong Kong",缺失
290,Good Hope Secondary,優質中學,中学,https://www.school290.edu.hk,勤、慎、朴、恭,"390 Central Road, Hong Kong",缺失
287,GF Secondary,優質書院,中学,https://www.school287.edu.hk,勤、慎、朴、恭,"387 Sai Ying Pun Road, Hong Kong",缺失
345,Park Secondary,公園書院,中学,https://www.school345.edu.hk,勤、慎、朴、恭,"445 Central Road, Hong Kong",缺失
330,Liu Secondary,劉備書院,中学,https://www.school330.edu.hk,勤、慎、朴、恭,"430 Central Road, Hong Kong",缺失
115,Canadian International School,加拿大國際學校,中学,https://www.school115.edu.hk,勤、慎、朴、恭,"215 Central Road, Hong Kong",缺失
1040,Canadian International School Secondary,加拿大國際學校中學,中学,缺失,缺失,缺失,缺失
347,Peking Secondary,北京書院,中学,https://www.school347.edu.hk,勤、慎、朴、恭,"447 Sai Ying Pun Road, Hong Kong",缺失
1026,Alkaid Secondary School,北斗中學,中学,缺失,缺失,缺失,缺失
105,Heep Yunn School,協恩中學,中学,https://www.school105.edu.hk,勤、慎、朴、恭,"205 Central Road, Hong Kong",缺失
341,NTH Secondary,南區中學,中学,https://www.school341.edu.hk,勤、慎、朴、恭,"441 Sheung Wan Road, Hong Kong",缺失
114,ESF South Island School,南島中學,中学,https://www.school114.edu.hk,勤、慎、朴、恭,"214 Repulse Bay Road, Hong Kong",缺失
262,Cognitio College,博敏書院,中学,https://www.school262.edu.hk,勤、慎、朴、恭,"362 Sai Ying Pun Road, Hong Kong",缺失
319,KAI Secondary,啟德書院,中学,https://www.school319.edu.hk,勤、慎、朴、恭,"419 Repulse Bay Road, Hong Kong",缺失
119,Discovery College,啟新書院,中学,https://www.school119.edu.hk,勤、慎、朴、恭,"219 Repulse Bay Road, Hong Kong",缺失
103,La Salle College,喇沙書院,中学,https://www.school103.edu.hk,勤、慎、朴、恭,"203 Aberdeen Road, Hong Kong",缺失
325,LCS Secondary,喇沙書院中學部,中学,https://www.school325.edu.hk,勤、慎、朴、恭,"425 Central Road, Hong Kong",缺失
829,Canossian College,嘉諾撒書院,中学,缺失,缺失,缺失,缺失
316,IKC Secondary,國際啟德書院,中学,https://www.school316.edu.hk,勤、慎、朴、恭,"416 Sheung Wan Road, Hong Kong",缺失
313,ICA Secondary,國際基督教書院,中学,https://www.school313.edu.hk,勤、慎、朴、恭,"413 Aberdeen Road, Hong Kong",缺失
122,International College,國際書院,中学,https://www.school122.edu.hk,勤、慎、朴、恭,"222 Sai Ying Pun Road, Hong Kong",缺失
267,Delia Secondary School,地利亞中學,中学,https://www.school267.edu.hk,勤、慎、朴、恭,"367 Sai Ying Pun Road, Hong Kong",缺失
351,Pui Ching Secondary,培正中學,中学,https://www.school351.edu.hk,勤、慎、朴、恭,"451 Sheung Wan Road, Hong Kong",缺失
352,Pui Tak Secondary,培道中學,中学,https://www.school352.edu.hk,勤、慎、朴、恭,"452 Sai Ying Pun Road, Hong Kong",缺失
1057,Christian Brethren College,基督徒會堂中學,中学,缺失,缺失,缺失,缺失
837,Christian College,基督教中學,中学,缺失,缺失,缺失,缺失
1058,Christian College,基督教培真中學,中学,缺失,缺失,缺失,缺失
269,DKMA Secondary,基督教崇真中學,中学,https://www.school269.edu.hk,勤、慎、朴、恭,"369 Repulse Bay Road, Hong Kong",缺失
124,Christian College,基督教書院,中学,https://www.school124.edu.hk,勤、慎、朴、恭,"224 Repulse Bay Road, Hong Kong",缺失
1285,YMCA,基督教青年會學校,中学,缺失,缺失,缺失,缺失
1066,ELCHK (San) Secondary,基督教香港信義會三育中學,中学,缺失,缺失,缺失,缺失
271,ELCHK Secondary,基督教香港信義會中學,中学,https://www.school271.edu.hk,勤、慎、朴、恭,"371 Sheung Wan Road, Hong Kong",缺失
1065,ELCHK (Lui) Secondary,基督教香港信義會利福中學,中学,缺失,缺失,缺失,缺失
1069,ELCHK (Tin) Secondary,基督教香港信義會天恩中學,中学,缺失,缺失,缺失,缺失
1068,ELCHK (Si) Secondary,基督教香港信義會崇真中學,中学,缺失,缺失,缺失,缺失
1070,ELCHK (Tung) Secondary,基督教香港信義會東涌中學,中学,缺失,缺失,缺失,缺失
1067,ELCHK (Sha) Secondary,基督教香港信義會沙田中學,中学,缺失,缺失,缺失,缺失
1064,ELCHK (Kwai) Secondary,基督教香港信義會葵盛中學,中学,缺失,缺失,缺失,缺失
1063,ELCHK (Ching) Secondary,基督教香港信義會青盈中學,中学,缺失,缺失,缺失,缺失
257,Christ College,基督書院,中学,https://www.school257.edu.hk,勤、慎、朴、恭,"357 Sai Ying Pun Road, Hong Kong",缺失
344,Pacific Secondary,太平洋書院,中学,https://www.school344.edu.hk,勤、慎、朴、恭,"444 Repulse Bay Road, Hong Kong",缺失
354,Queens Secondary,女皇書院,中学,https://www.school354.edu.hk,勤、慎、朴、恭,"454 Repulse Bay Road, Hong Kong",缺失
337,MEC Secondary,媽閣書院,中学,https://www.school337.edu.hk,勤、慎、朴、恭,"437 Sai Ying Pun Road, Hong Kong",缺失
831,Confucian College,孔教中學,中学,缺失,缺失,缺失,缺失
132,Mission College,宣道書院,中学,https://www.school132.edu.hk,勤、慎、朴、恭,"232 Sai Ying Pun Road, Hong Kong",缺失
1056,Christian & Missionary Alliance,宣道會中學,中学,缺失,缺失,缺失,缺失
828,Precious Blood College,寶血書院,中学,缺失,缺失,缺失,缺失
350,Po Nga Secondary,寶雅書院,中学,https://www.school350.edu.hk,勤、慎、朴、恭,"450 Central Road, Hong Kong",缺失
258,Chung Chi College,崇真書院,中学,https://www.school258.edu.hk,勤、慎、朴、恭,"358 Aberdeen Road, Hong Kong",缺失
329,Lingnan Secondary,嶺南中學,中学,https://www.school329.edu.hk,勤、慎、朴、恭,"429 Repulse Bay Road, Hong Kong",缺失
346,Peace Secondary,平安書院,中学,https://www.school346.edu.hk,勤、慎、朴、恭,"446 Sheung Wan Road, Hong Kong",缺失
1073,Equity Secondary,平正中學,中学,缺失,缺失,缺失,缺失
275,Equity Secondary,平正書院,中学,https://www.school275.edu.hk,勤、慎、朴、恭,"375 Central Road, Hong Kong",缺失
255,Choi Hung Secondary,彩虹中學,中学,https://www.school255.edu.hk,勤、慎、朴、恭,"355 Central Road, Hong Kong",缺失
125,Methodist College,循道中學,中学,https://www.school125.edu.hk,勤、慎、朴、恭,"225 Central Road, Hong Kong",缺失
1077,GCE Secondary,德國國際學校中學,中学,缺失,缺失,缺失,缺失
117,German Swiss International School,德瑞國際學校,中学,https://www.school117.edu.hk,勤、慎、朴、恭,"217 Sai Ying Pun Road, Hong Kong",缺失
286,GESS Secondary,德瑞國際學校中學部,中学,https://www.school286.edu.hk,勤、慎、朴、恭,"386 Sheung Wan Road, Hong Kong",缺失
1072,EPICO Secondary,恩主教中學,中学,缺失,缺失,缺失,缺失
274,EPICO Secondary,恩主教書院,中学,https://www.school274.edu.hk,勤、慎、朴、恭,"374 Repulse Bay Road, Hong Kong",缺失
291,Grace College,恩典書院,中学,https://www.school291.edu.hk,勤、慎、朴、恭,"391 Sheung Wan Road, Hong Kong",缺失
358,Salesian Secondary,慈幼書院,中学,https://www.school358.edu.hk,勤、慎、朴、恭,"458 Aberdeen Road, Hong Kong",缺失
101,Diocesan Boys School,拔萃男書院,中学,https://www.school101.edu.hk,勤、慎、朴、恭,"201 Sheung Wan Road, Hong Kong",缺失
116,Singapore International School,新加坡國際學校,中学,https://www.school116.edu.hk,勤、慎、朴、恭,"216 Sheung Wan Road, Hong Kong",缺失
266,Crescent Secondary,新月書院,中学,https://www.school266.edu.hk,勤、慎、朴、恭,"366 Sheung Wan Road, Hong Kong",缺失
340,NLSI Secondary,新界喇沙中學,中学,https://www.school340.edu.hk,勤、慎、朴、恭,"440 Central Road, Hong Kong",缺失
342,NTK Secondary,新界書院,中学,https://www.school342.edu.hk,勤、慎、朴、恭,"442 Sai Ying Pun Road, Hong Kong",缺失
339,Mong Kok Secondary,旺角中學,中学,https://www.school339.edu.hk,勤、慎、朴、恭,"439 Repulse Bay Road, Hong Kong",缺失
1042,Caritas Secondary School,明愛中學,中学,缺失,缺失,缺失,缺失
326,Lee Secondary,李兆基中學,中学,https://www.school326.edu.hk,勤、慎、朴、恭,"426 Sheung Wan Road, Hong Kong",缺失
1274,Li Po Chun United World College,李兆基聯合世界書院,中学,缺失,缺失,缺失,缺失
270,East Island Secondary,東區中學,中学,https://www.school270.edu.hk,勤、慎、朴、恭,"370 Central Road, Hong Kong",缺失
343,Oriental Secondary,東方書院,中学,https://www.school343.edu.hk,勤、慎、朴、恭,"443 Aberdeen Road, Hong Kong",缺失
833,TWGHs College,東華三院中學,中学,缺失,缺失,缺失,缺失
348,Pinehill Secondary,松山書院,中学,https://www.school348.edu.hk,勤、慎、朴、恭,"448 Aberdeen Road, Hong Kong",缺失
1054,Chadwick Secondary School,查德威克中學,中学,缺失,缺失,缺失,缺失
327,Leung Secondary,梁文道上學,中学,https://www.school327.edu.hk,勤、慎、朴、恭,"427 Sai Ying Pun Road, Hong Kong",缺失
331,Lock Secondary,樂善堂書院,中学,https://www.school331.edu.hk,勤、慎、朴、恭,"431 Sheung Wan Road, Hong Kong",缺失
320,Kiangsu Secondary,江蘇書院,中学,https://www.school320.edu.hk,勤、慎、朴、恭,"420 Central Road, Hong Kong",缺失
113,ESF Sha Tin College,沙田學院,中学,https://www.school113.edu.hk,勤、慎、朴、恭,"213 Aberdeen Road, Hong Kong",缺失
1029,Beauvoir Secondary School,法國國際學校中學,中学,缺失,缺失,缺失,缺失
835,Baptist College,浸信會中學,中学,缺失,缺失,缺失,缺失
328,Liam Secondary,浸信會呂明才中學,中学,https://www.school328.edu.hk,勤、慎、朴、恭,"428 Aberdeen Road, Hong Kong",缺失
1028,Baptist (Sha Tin) College,浸信會沙田培生命中學,中学,缺失,缺失,缺失,缺失
121,Shenzhen College,深圳書院,中学,https://www.school121.edu.hk,勤、慎、朴、恭,"221 Sheung Wan Road, Hong Kong",缺失
1292,ESF Clear Water Bay School,清水灣英基學校,中学,缺失,缺失,缺失,缺失
305,HKTK Secondary,港九捐助書院,中学,https://www.school305.edu.hk,勤、慎、朴、恭,"405 Central Road, Hong Kong",缺失
834,HKTA College,港九潮州公會中學,中学,缺失,缺失,缺失,缺失
293,HKAM Secondary,港大附屬中學,中学,https://www.school293.edu.hk,勤、慎、朴、恭,"393 Aberdeen Road, Hong Kong",缺失
317,Island School Secondary,港島中學,中学,https://www.school317.edu.hk,勤、慎、朴、恭,"417 Sai Ying Pun Road, Hong Kong",缺失
1269,Australian International School,澳洲國際學校,中学,缺失,缺失,缺失,缺失
1039,Calvary Secondary School,獻主會聖母院書院,中学,缺失,缺失,缺失,缺失
334,Maid Secondary,瑪利亞書院,中学,https://www.school334.edu.hk,勤、慎、朴、恭,"434 Repulse Bay Road, Hong Kong",缺失
336,MCS Secondary,瑪利曼書院,中学,https://www.school336.edu.hk,勤、慎、朴、恭,"436 Sheung Wan Road, Hong Kong",缺失
129,Maryknoll College,瑪利諾書院,中学,https://www.school129.edu.hk,勤、慎、朴、恭,"229 Repulse Bay Road, Hong Kong",缺失
288,Global Secondary,環球書院,中学,https://www.school288.edu.hk,勤、慎、朴、恭,"388 Aberdeen Road, Hong Kong",缺失
292,Grantham Secondary,皇仁書院,中学,https://www.school292.edu.hk,勤、慎、朴、恭,"392 Sai Ying Pun Road, Hong Kong",缺失
356,RMA Secondary,皇家音樂學院,中学,https://www.school356.edu.hk,勤、慎、朴、恭,"456 Sheung Wan Road, Hong Kong",缺失
1027,Assembly of God Secondary,神召會中學,中学,缺失,缺失,缺失,缺失
278,FDB Secondary School,福德祠中學,中学,https://www.school278.edu.hk,勤、慎、朴、恭,"378 Aberdeen Road, Hong Kong",缺失
1074,Evangel College,福音中學,中学,缺失,缺失,缺失,缺失
276,Evangel College,福音書院,中学,https://www.school276.edu.hk,勤、慎、朴、恭,"376 Sheung Wan Road, Hong Kong",缺失
355,Rhenish Secondary,禮賢會書院,中学,https://www.school355.edu.hk,勤、慎、朴、恭,"455 Central Road, Hong Kong",缺失
279,First Secondary,第一書院,中学,https://www.school279.edu.hk,勤、慎、朴、恭,"379 Repulse Bay Road, Hong Kong",缺失
265,Covenant House,約誓之家,中学,https://www.school265.edu.hk,勤、慎、朴、恭,"365 Central Road, Hong Kong",缺失
285,General Chamber Secondary,總商會中學,中学,https://www.school285.edu.hk,勤、慎、朴、恭,"385 Central Road, Hong Kong",缺失
131,Loreto College,羅切斯特書院,中学,https://www.school131.edu.hk,勤、慎、朴、恭,"231 Sheung Wan Road, Hong Kong",缺失
1283,Yew Chung International School,耀中國際學校,中学,缺失,缺失,缺失,缺失
312,Holy Trinity College Secondary,聖三一中學,中学,https://www.school312.edu.hk,勤、慎、朴、恭,"412 Sai Ying Pun Road, Hong Kong",缺失
366,St. Denis Secondary,聖丹尼斯書院,中学,https://www.school366.edu.hk,勤、慎、朴、恭,"466 Sheung Wan Road, Hong Kong",缺失
143,St. Henry College,聖亨利書院,中学,https://www.school143.edu.hk,勤、慎、朴、恭,"243 Aberdeen Road, Hong Kong",缺失
374,St. Hugh Secondary,聖休斯書院,中学,https://www.school374.edu.hk,勤、慎、朴、恭,"474 Repulse Bay Road, Hong Kong",缺失
144,St. Ignatius College,聖依納爵書院,中学,https://www.school144.edu.hk,勤、慎、朴、恭,"244 Repulse Bay Road, Hong Kong",缺失
104,St. Pauls College,聖保羅書院,中学,https://www.school104.edu.hk,勤、慎、朴、恭,"204 Repulse Bay Road, Hong Kong",缺失
361,SKH Secondary,聖公會中學,中学,https://www.school361.edu.hk,勤、慎、朴、恭,"461 Sheung Wan Road, Hong Kong",缺失
384,St. Leo Secondary,聖利奧書院,中学,https://www.school384.edu.hk,勤、慎、朴、恭,"484 Repulse Bay Road, Hong Kong",缺失
418,St. Zita Secondary,聖則塔書院,中学,https://www.school418.edu.hk,勤、慎、朴、恭,"518 Aberdeen Road, Hong Kong",缺失
142,St. Gabriel College,聖加百列書院,中学,https://www.school142.edu.hk,勤、慎、朴、恭,"242 Sai Ying Pun Road, Hong Kong",缺失
382,St. Lawrence Secondary,聖勞倫斯書院,中学,https://www.school382.edu.hk,勤、慎、朴、恭,"482 Sai Ying Pun Road, Hong Kong",缺失
308,Holy Cross Secondary,聖十字中學,中学,https://www.school308.edu.hk,勤、慎、朴、恭,"408 Aberdeen Road, Hong Kong",缺失
135,Holy Cross College,聖十字書院,中学,https://www.school135.edu.hk,勤、慎、朴、恭,"235 Central Road, Hong Kong",缺失
138,St. Canice School,聖卡尼書院,中学,https://www.school138.edu.hk,勤、慎、朴、恭,"238 Aberdeen Road, Hong Kong",缺失
310,Holy Name Secondary,聖名書院,中学,https://www.school310.edu.hk,勤、慎、朴、恭,"410 Central Road, Hong Kong",缺失
372,St. George Secondary,聖喬治書院,中学,https://www.school372.edu.hk,勤、慎、朴、恭,"472 Sai Ying Pun Road, Hong Kong",缺失
823,St. Charles' College,聖嘉祿書院,中学,缺失,缺失,缺失,缺失
367,St. Dominics Secondary,聖多米尼克書院,中学,https://www.school367.edu.hk,勤、慎、朴、恭,"467 Sai Ying Pun Road, Hong Kong",缺失
419,St. Augustine Secondary,聖奧古斯丁書院,中学,https://www.school419.edu.hk,勤、慎、朴、恭,"519 Repulse Bay Road, Hong Kong",缺失
414,St. William Secondary,聖威廉書院,中学,https://www.school414.edu.hk,勤、慎、朴、恭,"514 Repulse Bay Road, Hong Kong",缺失
362,St. Antonius Secondary,聖安多尼書院,中学,https://www.school362.edu.hk,勤、慎、朴、恭,"462 Sai Ying Pun Road, Hong Kong",缺失
136,St. Ambrose College,聖安布羅書院,中学,https://www.school136.edu.hk,勤、慎、朴、恭,"236 Sheung Wan Road, Hong Kong",缺失
309,Holy Family Secondary,聖家書院,中学,https://www.school309.edu.hk,勤、慎、朴、恭,"409 Repulse Bay Road, Hong Kong",缺失
369,St. Eugenes Secondary,聖尤金書院,中学,https://www.school369.edu.hk,勤、慎、朴、恭,"469 Repulse Bay Road, Hong Kong",缺失
394,St. Nicholas Secondary,聖尼古拉斯書院,中学,https://www.school394.edu.hk,勤、慎、朴、恭,"494 Repulse Bay Road, Hong Kong",缺失
420,St. Bartholomew Secondary,聖巴塞洛繆書院,中学,https://www.school420.edu.hk,勤、慎、朴、恭,"520 Central Road, Hong Kong",缺失
263,College of St. Hilary,聖希爾達書院,中学,https://www.school263.edu.hk,勤、慎、朴、恭,"363 Aberdeen Road, Hong Kong",缺失
396,St. Patrick Secondary,聖帕特里克書院,中学,https://www.school396.edu.hk,勤、慎、朴、恭,"496 Sheung Wan Road, Hong Kong",缺失
398,St. Peter Secondary,聖彼得書院,中学,https://www.school398.edu.hk,勤、慎、朴、恭,"498 Aberdeen Road, Hong Kong",缺失
128,St. Teresa School,聖德肋撒書院,中学,https://www.school128.edu.hk,勤、慎、朴、恭,"228 Aberdeen Road, Hong Kong",缺失
357,Sacred Heart Secondary,聖心書院,中学,https://www.school357.edu.hk,勤、慎、朴、恭,"457 Sai Ying Pun Road, Hong Kong",缺失
140,St. Edward College,聖愛德華書院,中学,https://www.school140.edu.hk,勤、慎、朴、恭,"240 Central Road, Hong Kong",缺失
416,St. Zachary Secondary,聖扎迦利書院,中学,https://www.school416.edu.hk,勤、慎、朴、恭,"516 Sheung Wan Road, Hong Kong",缺失
411,St. Thomas Aquinas Secondary,聖托馬斯·阿奎那書院,中学,https://www.school411.edu.hk,勤、慎、朴、恭,"511 Sheung Wan Road, Hong Kong",缺失
408,St. Thomas Secondary,聖托馬斯書院,中学,https://www.school408.edu.hk,勤、慎、朴、恭,"508 Aberdeen Road, Hong Kong",缺失
401,St. Raphael Secondary,聖拉斐爾書院,中学,https://www.school401.edu.hk,勤、慎、朴、恭,"501 Sheung Wan Road, Hong Kong",缺失
364,St. Boniface Secondary,聖文奎書院,中学,https://www.school364.edu.hk,勤、慎、朴、恭,"464 Repulse Bay Road, Hong Kong",缺失
413,St. Vincent Secondary,聖文森特書院,中学,https://www.school413.edu.hk,勤、慎、朴、恭,"513 Aberdeen Road, Hong Kong",缺失
406,St. Stephen Secondary,聖斯蒂芬書院,中学,https://www.school406.edu.hk,勤、慎、朴、恭,"506 Sheung Wan Road, Hong Kong",缺失
422,St. Benedict Secondary,聖本尼迪克書院,中学,https://www.school422.edu.hk,勤、慎、朴、恭,"522 Sai Ying Pun Road, Hong Kong",缺失
137,St. Benedict School,聖本篤書院,中学,https://www.school137.edu.hk,勤、慎、朴、恭,"237 Sai Ying Pun Road, Hong Kong",缺失
139,St. Charles School,聖查理書院,中学,https://www.school139.edu.hk,勤、慎、朴、恭,"239 Repulse Bay Road, Hong Kong",缺失
826,Our Lady of Good Counsel,聖母佳音書院,中学,缺失,缺失,缺失,缺失
827,Our Lady of Mount Carmel,聖母加爾默羅書院,中学,缺失,缺失,缺失,缺失
133, Precious Blood College,聖母書院,中学,https://www.school133.edu.hk,勤、慎、朴、恭,"233 Aberdeen Road, Hong Kong",缺失
306,HLM Secondary,聖母書院中學部,中学,https://www.school306.edu.hk,勤、慎、朴、恭,"406 Sheung Wan Road, Hong Kong",缺失
825,Immaculate Heart of Mary College,聖母無原罪書院,中学,缺失,缺失,缺失,缺失
264,Convent Secondary School,聖母進教之佑書院,中学,https://www.school264.edu.hk,勤、慎、朴、恭,"364 Repulse Bay Road, Hong Kong",缺失
110,Holy Innocents High School,聖母高中書院,中学,https://www.school110.edu.hk,勤、慎、朴、恭,"210 Central Road, Hong Kong",缺失
421,St. Bede Secondary,聖比德書院,中学,https://www.school421.edu.hk,勤、慎、朴、恭,"521 Sheung Wan Road, Hong Kong",缺失
141,St. Francis Assisi,聖法蘭西斯亞西西,中学,https://www.school141.edu.hk,勤、慎、朴、恭,"241 Sheung Wan Road, Hong Kong",缺失
130,St. Francis College,聖法蘭西斯書院,中学,https://www.school130.edu.hk,勤、慎、朴、恭,"230 Central Road, Hong Kong",缺失
400,St. Polycarp Secondary,聖波爾卡普書院,中学,https://www.school400.edu.hk,勤、慎、朴、恭,"500 Central Road, Hong Kong",缺失
373,St. Helen Secondary,聖海倫書院,中学,https://www.school373.edu.hk,勤、慎、朴、恭,"473 Aberdeen Road, Hong Kong",缺失
415,St. Xavier Secondary,聖澤維爾書院,中学,https://www.school415.edu.hk,勤、慎、朴、恭,"515 Central Road, Hong Kong",缺失
417,St. Zenon Secondary,聖澤農書院,中学,https://www.school417.edu.hk,勤、慎、朴、恭,"517 Sai Ying Pun Road, Hong Kong",缺失
410,St. Theresa Secondary,聖特雷莎書院,中学,https://www.school410.edu.hk,勤、慎、朴、恭,"510 Central Road, Hong Kong",缺失
380,St. Jude Secondary,聖猶達書院,中学,https://www.school380.edu.hk,勤、慎、朴、恭,"480 Central Road, Hong Kong",缺失
402,St. Richard Secondary,聖理查德書院,中学,https://www.school402.edu.hk,勤、慎、朴、恭,"502 Sai Ying Pun Road, Hong Kong",缺失
147,St. Margaret School,聖瑪格麗特書院,中学,https://www.school147.edu.hk,勤、慎、朴、恭,"247 Sai Ying Pun Road, Hong Kong",缺失
148,St. Mary Canossian,聖瑪麗卡諾沙,中学,https://www.school148.edu.hk,勤、慎、朴、恭,"248 Aberdeen Road, Hong Kong",缺失
1278,St. Mary's International School,聖瑪麗國際學校,中学,缺失,缺失,缺失,缺失
390,St. Mary Secondary,聖瑪麗書院,中学,https://www.school390.edu.hk,勤、慎、朴、恭,"490 Central Road, Hong Kong",缺失
311,Holy Spirit Secondary,聖神書院,中学,https://www.school311.edu.hk,勤、慎、朴、恭,"411 Sheung Wan Road, Hong Kong",缺失
149,St. Michaels College,聖米迦勒書院,中学,https://www.school149.edu.hk,勤、慎、朴、恭,"249 Repulse Bay Road, Hong Kong",缺失
102,St. Josephs College,聖約瑟書院,中学,https://www.school102.edu.hk,勤、慎、朴、恭,"202 Sai Ying Pun Road, Hong Kong",缺失
378,St. John Secondary,聖約翰書院,中学,https://www.school378.edu.hk,勤、慎、朴、恭,"478 Aberdeen Road, Hong Kong",缺失
377,St. Joachim Secondary,聖約雅敬書院,中学,https://www.school377.edu.hk,勤、慎、朴、恭,"477 Sai Ying Pun Road, Hong Kong",缺失
412,St. Victor Secondary,聖維克多書院,中学,https://www.school412.edu.hk,勤、慎、朴、恭,"512 Sai Ying Pun Road, Hong Kong",缺失
403,St. Robert Secondary,聖羅伯特書院,中学,https://www.school403.edu.hk,勤、慎、朴、恭,"503 Aberdeen Road, Hong Kong",缺失
404,St. Rose Secondary,聖羅莎書院,中学,https://www.school404.edu.hk,勤、慎、朴、恭,"504 Repulse Bay Road, Hong Kong",缺失
109,St. Francis Xianths Girls College,聖芳濟各書院,中学,https://www.school109.edu.hk,勤、慎、朴、恭,"209 Repulse Bay Road, Hong Kong",缺失
